event_id,event_ts,event_date,user_id,session_id,event_type,product_id,category,device_type,traffic_source,region,order_id,quantity,unit_price,revenue,is_new_user
E000001,2026-01-18 21:04:00,2026-01-18,U0001,S00001,visit,,,desktop,organic,Москва,,0,0,0,1
E000002,2026-01-18 21:12:00,2026-01-18,U0001,S00001,view_item,SPO-115,sports,desktop,organic,Москва,,0,10824,0,1
E000003,2026-01-18 21:15:00,2026-01-18,U0001,S00001,view_item,BEA-140,beauty,desktop,organic,Москва,,0,2034,0,1
E000004,2026-01-18 21:18:00,2026-01-18,U0001,S00001,view_item,SPO-179,sports,desktop,organic,Москва,,0,5721,0,1
E000005,2026-01-18 21:20:00,2026-01-18,U0001,S00001,add_to_cart,BEA-140,beauty,desktop,organic,Москва,,1,2034,0,1
E000006,2026-01-18 21:24:00,2026-01-18,U0001,S00001,checkout,BEA-140,beauty,desktop,organic,Москва,,1,2034,0,1
E000007,2026-01-18 21:30:00,2026-01-18,U0001,S00001,purchase,BEA-140,beauty,desktop,organic,Москва,O00001,1,2034,2034,1
E000008,2026-02-05 20:50:00,2026-02-05,U0001,S00002,visit,,,mobile,ads,Москва,,0,0,0,0
E000009,2026-02-05 20:56:00,2026-02-05,U0001,S00002,view_item,SPO-224,sports,mobile,ads,Москва,,0,8800,0,0
E000010,2026-02-05 21:00:00,2026-02-05,U0001,S00002,view_item,ELE-037,electronics,mobile,ads,Москва,,0,21127,0,0
E000011,2026-02-23 13:59:00,2026-02-23,U0001,S00003,visit,,,mobile,direct,Москва,,0,0,0,0
E000012,2026-02-23 14:01:00,2026-02-23,U0001,S00003,view_item,SPO-219,sports,mobile,direct,Москва,,0,10631,0,0
E000013,2026-02-23 14:04:00,2026-02-23,U0001,S00003,view_item,HOM-228,home,mobile,direct,Москва,,0,9996,0,0
E000014,2026-02-23 14:05:00,2026-02-23,U0001,S00003,view_item,HOM-061,home,mobile,direct,Москва,,0,6497,0,0
E000015,2026-03-06 12:52:00,2026-03-06,U0001,S00004,visit,,,desktop,organic,Москва,,0,0,0,0
E000016,2026-03-06 13:00:00,2026-03-06,U0001,S00004,view_item,ELE-077,electronics,desktop,organic,Москва,,0,6980,0,0
E000017,2026-03-06 13:01:00,2026-03-06,U0001,S00004,view_item,FAS-096,fashion,desktop,organic,Москва,,0,4492,0,0
E000018,2026-03-06 13:06:00,2026-03-06,U0001,S00004,view_item,BEA-175,beauty,desktop,organic,Москва,,0,1156,0,0
E000019,2026-01-31 15:58:00,2026-01-31,U0002,S00005,visit,,,desktop,ads,Москва,,0,0,0,1
E000020,2026-01-31 16:06:00,2026-01-31,U0002,S00005,view_item,KID-174,kids,desktop,ads,Москва,,0,5360,0,1
E000021,2026-01-31 16:10:00,2026-01-31,U0002,S00005,view_item,KID-151,kids,desktop,ads,Москва,,0,3458,0,1
E000022,2026-01-31 16:14:00,2026-01-31,U0002,S00005,view_item,HOM-117,home,desktop,ads,Москва,,0,6271,0,1
E000023,2026-01-31 16:18:00,2026-01-31,U0002,S00005,add_to_cart,KID-151,kids,desktop,ads,Москва,,1,3458,0,1
E000024,2026-01-31 16:21:00,2026-01-31,U0002,S00005,checkout,KID-151,kids,desktop,ads,Москва,,1,3458,0,1
E000025,2026-01-31 16:27:00,2026-01-31,U0002,S00005,purchase,KID-151,kids,desktop,ads,Москва,O00002,1,3458,3285,1
E000026,2026-03-01 18:16:00,2026-03-01,U0002,S00006,visit,,,mobile,organic,Москва,,0,0,0,0
E000027,2026-03-01 18:17:00,2026-03-01,U0002,S00006,view_item,KID-191,kids,mobile,organic,Москва,,0,5275,0,0
E000028,2026-03-01 18:20:00,2026-03-01,U0002,S00006,view_item,SPO-059,sports,mobile,organic,Москва,,0,12364,0,0
E000029,2026-03-01 18:22:00,2026-03-01,U0002,S00006,view_item,HOM-159,home,mobile,organic,Москва,,0,5666,0,0
E000030,2026-03-16 10:14:00,2026-03-16,U0002,S00007,visit,,,mobile,organic,Москва,,0,0,0,0
E000031,2026-03-16 10:15:00,2026-03-16,U0002,S00007,view_item,FAS-113,fashion,mobile,organic,Москва,,0,1241,0,0
E000032,2026-03-16 10:21:00,2026-03-16,U0002,S00007,view_item,ELE-233,electronics,mobile,organic,Москва,,0,16182,0,0
E000033,2026-03-16 10:25:00,2026-03-16,U0002,S00007,add_to_cart,FAS-113,fashion,mobile,organic,Москва,,2,1241,0,0
E000034,2026-03-16 10:28:00,2026-03-16,U0002,S00007,checkout,FAS-113,fashion,mobile,organic,Москва,,2,1241,0,0
E000035,2026-02-13 20:07:00,2026-02-13,U0003,S00008,visit,,,mobile,ads,Москва,,0,0,0,1
E000036,2026-02-13 20:11:00,2026-02-13,U0003,S00008,view_item,SPO-186,sports,mobile,ads,Москва,,0,8786,0,1
E000037,2026-02-13 20:16:00,2026-02-13,U0003,S00008,view_item,FAS-203,fashion,mobile,ads,Москва,,0,4138,0,1
E000038,2026-02-13 20:21:00,2026-02-13,U0003,S00008,view_item,ELE-095,electronics,mobile,ads,Москва,,0,30148,0,1
E000039,2026-03-03 20:18:00,2026-03-03,U0003,S00009,visit,,,mobile,social,Москва,,0,0,0,0
E000040,2026-03-03 20:26:00,2026-03-03,U0003,S00009,view_item,ELE-227,electronics,mobile,social,Москва,,0,25196,0,0
E000041,2026-03-03 20:31:00,2026-03-03,U0003,S00009,view_item,FAS-017,fashion,mobile,social,Москва,,0,6608,0,0
E000042,2026-01-06 08:19:00,2026-01-06,U0004,S00010,visit,,,mobile,direct,Екатеринбург,,0,0,0,1
E000043,2026-01-06 08:22:00,2026-01-06,U0004,S00010,view_item,FAS-095,fashion,mobile,direct,Екатеринбург,,0,6999,0,1
E000044,2026-02-05 08:44:00,2026-02-05,U0005,S00011,visit,,,mobile,ads,Казань,,0,0,0,1
E000045,2026-02-05 08:50:00,2026-02-05,U0005,S00011,view_item,BEA-166,beauty,mobile,ads,Казань,,0,1880,0,1
E000046,2026-02-05 08:53:00,2026-02-05,U0005,S00011,view_item,FAS-032,fashion,mobile,ads,Казань,,0,4667,0,1
E000047,2026-02-05 08:55:00,2026-02-05,U0005,S00011,add_to_cart,BEA-166,beauty,mobile,ads,Казань,,1,1880,0,1
E000048,2026-02-17 11:28:00,2026-02-17,U0005,S00012,visit,,,desktop,organic,Казань,,0,0,0,0
E000049,2026-02-17 11:32:00,2026-02-17,U0005,S00012,view_item,SPO-060,sports,desktop,organic,Казань,,0,7416,0,0
E000050,2026-02-17 11:37:00,2026-02-17,U0005,S00012,view_item,ELE-220,electronics,desktop,organic,Казань,,0,11802,0,0
E000051,2026-02-23 18:06:00,2026-02-23,U0005,S00013,visit,,,desktop,organic,Казань,,0,0,0,0
E000052,2026-02-23 18:12:00,2026-02-23,U0005,S00013,view_item,SPO-061,sports,desktop,organic,Казань,,0,11508,0,0
E000053,2026-02-23 18:14:00,2026-02-23,U0005,S00013,add_to_cart,SPO-061,sports,desktop,organic,Казань,,1,11508,0,0
E000054,2026-02-23 18:19:00,2026-02-23,U0005,S00013,checkout,SPO-061,sports,desktop,organic,Казань,,1,11508,0,0
E000055,2026-02-23 18:20:00,2026-02-23,U0005,S00013,purchase,SPO-061,sports,desktop,organic,Казань,O00003,1,11508,11508,0
E000056,2026-03-04 17:26:00,2026-03-04,U0005,S00014,visit,,,mobile,ads,Казань,,0,0,0,0
E000057,2026-03-04 17:27:00,2026-03-04,U0005,S00014,view_item,SPO-233,sports,mobile,ads,Казань,,0,10346,0,0
E000058,2026-03-04 17:33:00,2026-03-04,U0005,S00014,view_item,KID-016,kids,mobile,ads,Казань,,0,5123,0,0
E000059,2026-01-09 10:17:00,2026-01-09,U0006,S00015,visit,,,mobile,social,Санкт-Петербург,,0,0,0,1
E000060,2026-01-09 10:19:00,2026-01-09,U0006,S00015,view_item,SPO-030,sports,mobile,social,Санкт-Петербург,,0,11292,0,1
E000061,2026-01-09 10:21:00,2026-01-09,U0006,S00015,view_item,BEA-228,beauty,mobile,social,Санкт-Петербург,,0,1390,0,1
E000062,2026-01-10 22:05:00,2026-01-10,U0006,S00016,visit,,,mobile,organic,Санкт-Петербург,,0,0,0,0
E000063,2026-01-10 22:11:00,2026-01-10,U0006,S00016,view_item,KID-176,kids,mobile,organic,Санкт-Петербург,,0,4716,0,0
E000064,2026-01-10 22:12:00,2026-01-10,U0006,S00016,view_item,ELE-025,electronics,mobile,organic,Санкт-Петербург,,0,19688,0,0
E000065,2026-02-11 14:38:00,2026-02-11,U0006,S00017,visit,,,mobile,social,Санкт-Петербург,,0,0,0,0
E000066,2026-02-11 14:44:00,2026-02-11,U0006,S00017,view_item,SPO-193,sports,mobile,social,Санкт-Петербург,,0,9161,0,0
E000067,2026-02-11 17:09:00,2026-02-11,U0006,S00018,visit,,,mobile,social,Санкт-Петербург,,0,0,0,0
E000068,2026-02-11 17:13:00,2026-02-11,U0006,S00018,view_item,ELE-124,electronics,mobile,social,Санкт-Петербург,,0,14479,0,0
E000069,2026-02-11 17:16:00,2026-02-11,U0006,S00018,view_item,SPO-095,sports,mobile,social,Санкт-Петербург,,0,3640,0,0
E000070,2026-03-16 16:45:00,2026-03-16,U0006,S00019,visit,,,tablet,direct,Санкт-Петербург,,0,0,0,0
E000071,2026-03-16 16:46:00,2026-03-16,U0006,S00019,view_item,HOM-169,home,tablet,direct,Санкт-Петербург,,0,5597,0,0
E000072,2026-03-16 16:49:00,2026-03-16,U0006,S00019,view_item,HOM-080,home,tablet,direct,Санкт-Петербург,,0,7005,0,0
E000073,2026-03-16 16:51:00,2026-03-16,U0006,S00019,view_item,SPO-145,sports,tablet,direct,Санкт-Петербург,,0,8122,0,0
E000074,2026-03-09 11:24:00,2026-03-09,U0007,S00020,visit,,,mobile,ads,Москва,,0,0,0,1
E000075,2026-03-09 11:30:00,2026-03-09,U0007,S00020,view_item,SPO-146,sports,mobile,ads,Москва,,0,11364,0,1
E000076,2026-03-09 11:31:00,2026-03-09,U0007,S00020,view_item,ELE-194,electronics,mobile,ads,Москва,,0,26376,0,1
E000077,2026-01-28 20:32:00,2026-01-28,U0008,S00021,visit,,,mobile,organic,Санкт-Петербург,,0,0,0,1
E000078,2026-01-28 20:40:00,2026-01-28,U0008,S00021,view_item,BEA-079,beauty,mobile,organic,Санкт-Петербург,,0,599,0,1
E000079,2026-01-28 20:45:00,2026-01-28,U0008,S00021,add_to_cart,BEA-079,beauty,mobile,organic,Санкт-Петербург,,1,599,0,1
E000080,2026-02-26 14:17:00,2026-02-26,U0008,S00022,visit,,,mobile,email,Санкт-Петербург,,0,0,0,0
E000081,2026-02-26 14:25:00,2026-02-26,U0008,S00022,view_item,SPO-045,sports,mobile,email,Санкт-Петербург,,0,3753,0,0
E000082,2026-01-06 14:01:00,2026-01-06,U0009,S00023,visit,,,desktop,social,Казань,,0,0,0,1
E000083,2026-01-06 14:03:00,2026-01-06,U0009,S00023,view_item,BEA-084,beauty,desktop,social,Казань,,0,1191,0,1
E000084,2026-01-06 14:08:00,2026-01-06,U0009,S00023,view_item,BEA-177,beauty,desktop,social,Казань,,0,1899,0,1
E000085,2026-02-10 17:27:00,2026-02-10,U0009,S00024,visit,,,mobile,ads,Казань,,0,0,0,0
E000086,2026-02-10 17:33:00,2026-02-10,U0009,S00024,view_item,FAS-200,fashion,mobile,ads,Казань,,0,2294,0,0
E000087,2026-02-10 17:39:00,2026-02-10,U0009,S00024,view_item,ELE-131,electronics,mobile,ads,Казань,,0,13472,0,0
E000088,2026-02-10 17:42:00,2026-02-10,U0009,S00024,view_item,FAS-210,fashion,mobile,ads,Казань,,0,6691,0,0
E000089,2026-02-10 17:44:00,2026-02-10,U0009,S00024,add_to_cart,FAS-200,fashion,mobile,ads,Казань,,1,2294,0,0
E000090,2026-02-10 17:49:00,2026-02-10,U0009,S00024,checkout,FAS-200,fashion,mobile,ads,Казань,,1,2294,0,0
